,Title,Org_Title,Language,popularity,TMDB Score,vote_count
130,The Kid,The Kid,en,14.951,6.5,872
131,The Wolf of Wall Street,The Wolf of Wall Street,en,98.6,8.0,22386
132,The Father,The Father,en,24.528,8.1,2815
133,Green Book,Green Book,en,79.171,8.2,10626
134,All About Eve,All About Eve,en,17.429,8.1,1403
135,Judgment at Nuremberg,Judgment at Nuremberg,en,15.73,8.0,685
136,The Truman Show,The Truman Show,en,51.208,8.1,16969
137,There Will Be Blood,There Will Be Blood,en,35.677,8.1,6041
138,Casino,Casino,en,28.954,8.0,5298
139,Ran,Ran,he,0.885,0.0,0
140,Shutter Island,Shutter Island,en,55.856,8.2,22461
141,Pan's Labyrinth,El laberinto del fauno,es,45.901,7.8,9903
142,The Sixth Sense,The Sixth Sense,en,84.696,7.9,10839
143,Jurassic Park,Jurassic Park,en,29.7,7.9,15243
144,Unforgiven,Unforgiven,en,30.155,7.9,3996
145,A Beautiful Mind,A Beautiful Mind,en,35.808,7.9,9531
146,The Treasure of the Sierra Madre,The Treasure of the Sierra Madre,en,15.064,8.0,1079
147,No Country for Old Men,No Country for Old Men,en,36.034,7.9,11057
148,Yojimbo,用心棒,ja,26.358,8.1,1281
149,Kill Bill: Vol. 1,Kill Bill: Vol. 1,en,44.904,8.0,16272
150,The Thing,The Thing,en,51.535,8.1,6306
151,Monty Python and the Holy Grail,Monty Python and the Holy Grail,en,30.613,7.8,5330
152,The Great Escape,The Great Escape,en,33.809,7.9,2302
153,Finding Nemo,Finding Nemo,en,86.108,7.8,18160
154,Rashomon,羅生門,ja,20.667,8.1,1978
155,The Elephant Man,The Elephant Man,en,20.369,8.0,3188
156,Chinatown,Chinatown,en,36.96,7.9,3471
157,Howl's Moving Castle,ハウルの動く城,ja,93.921,8.4,8816
158,Dial M for Murder,Dial M for Murder,en,18.313,8.0,2364
159,Gone with the Wind,Gone with the Wind,en,32.429,8.0,3722
160,V for Vendetta,V for Vendetta,en,42.389,7.9,13638
161,Raging Bull,Raging Bull,en,21.003,8.0,3914
162,Prisoners,Prisoners,en,34.4,8.1,10836
163,"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels",en,15.731,8.1,6122
164,The Secret in Their Eyes,El secreto de sus ojos,es,20.5,8.0,2318
165,Inside Out,Inside Out,en,95.575,7.9,19561
166,Spider-Man: No Way Home,Spider-Man: No Way Home,en,219.18,8.0,18452
167,"Three Billboards Outside Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri",en,24.076,8.1,9482
168,The Bridge on the River Kwai,The Bridge on the River Kwai,en,16.669,7.8,1878
169,Trainspotting,Trainspotting,en,26.416,8.0,9069
170,Fargo,Fargo,en,51.65,7.9,7344
171,Warrior,Warrior,en,40.236,7.8,4210
172,Gran Torino,Gran Torino,en,31.604,8.0,10066
173,Catch Me If You Can,Catch Me If You Can,en,58.484,8.0,14495
174,My Neighbor Totoro,となりのトトロ,ja,58.275,8.1,7199
175,Million Dollar Baby,Million Dollar Baby,en,25.979,8.0,8935
176,Klaus,Klaus,en,25.334,8.2,3568
177,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2,en,112.127,8.1,19293
178,Children of Heaven,بچه‌های آسمان,fa,15.359,7.9,548
179,Blade Runner,Blade Runner,en,57.576,7.9,12866
180,12 Years a Slave,12 Years a Slave,en,37.456,7.9,10664
181,Before Sunrise,Before Sunrise,en,25.429,8.0,3756
182,The Grand Budapest Hotel,The Grand Budapest Hotel,en,37.67,8.1,13880
183,The Gold Rush,The Gold Rush,en,16.912,8.0,1442
184,Ben-Hur,Ben-Hur,en,32.016,7.9,2484
185,Barry Lyndon,Barry Lyndon,en,20.47,8.0,2563
186,Gone Girl,Gone Girl,en,80.411,7.9,17483
187,Hacksaw Ridge,Hacksaw Ridge,en,125.34,8.2,12775
188,On the Waterfront,On the Waterfront,en,15.537,7.9,1421
189,In the Name of the Father,In the Name of the Father,en,20.131,7.9,1593
190,Memories of Murder,살인의 추억,ko,25.994,8.1,3384
191,The General,The General,en,11.631,8.0,1096
192,The Deer Hunter,The Deer Hunter,en,26.404,8.0,3441
193,Wild Strawberries,Smultronstället,sv,13.603,8.1,1487
194,Wild Tales,Relatos salvajes,es,22.245,7.9,3101
195,The Third Man,The Third Man,en,18.628,7.9,1689
196,The Wages of Fear,Le Salaire de la peur,fr,17.474,8.0,812
197,Sherlock Jr.,Sherlock Jr.,en,13.915,8.1,864
198,Dead Poets Society,Dead Poets Society,en,36.081,8.3,10387
199,Mad Max: Fury Road,Mad Max: Fury Road,en,63.606,7.6,21010
200,"Monsters, Inc.","Monsters, Inc.",en,129.527,7.8,17294
201,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,en,13.767,7.9,940
202,Jaws,Jaws,en,52.986,7.7,9621
203,How to Train Your Dragon,How to Train Your Dragon,en,62.955,7.8,12164
204,Mary and Max,Mary and Max,en,15.283,7.9,1786
205,The Seventh Seal,Det sjunde inseglet,sv,26.185,8.2,2722
206,Ford v Ferrari,Ford v Ferrari,en,51.305,8.0,7053
207,Room,Room,en,24.038,8.0,8722
208,The Big Lebowski,The Big Lebowski,en,32.133,7.8,10455
209,Tokyo Story,東京物語,ja,19.383,8.2,931
210,Ratatouille,Ratatouille,en,105.435,7.8,15834
211,Rocky,Rocky,en,64.722,7.8,7209
212,Hotel Rwanda,Hotel Rwanda,en,19.205,7.7,2646
213,Logan,Logan,en,71.003,7.8,18201
214,The Passion of Joan of Arc,La Passion de Jeanne d'Arc,fr,16.017,8.0,831
215,Spotlight,Spotlight,en,27.791,7.8,7813
216,Platoon,Platoon,en,36.875,7.7,4127
217,The Terminator,The Terminator,en,61.917,7.6,11970
218,Jai Bhim,ஜெய் பீம்,ta,9.373,7.4,108
219,Before Sunset,Before Sunset,en,19.519,7.8,3103
220,Rush,Rush,en,31.964,7.7,6640
221,Network,Network,en,21.0,7.8,1531
222,The Exorcist,The Exorcist,en,106.922,7.7,7395
223,The Best Years of Our Lives,The Best Years of Our Lives,en,16.692,7.8,577
224,Stand by Me Doraemon,STAND BY ME ドラえもん,ja,81.264,7.3,478
225,La Haine,La Haine,fr,21.824,8.1,3643
226,The Wizard of Oz,The Wizard of Oz,en,52.436,7.6,5147
227,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,en,104.537,7.8,19348
228,The Incredibles,The Incredibles,en,75.156,7.7,16685
229,Into the Wild,Into the Wild,en,29.153,7.8,9070
230,My Father and My Son,Babam ve Oğlum,tr,9.199,7.5,282
231,To Be or Not to Be,To Be or Not to Be,en,10.72,6.8,189
232,Hachi: A Dog's Tale,Hachi: A Dog's Tale,en,36.193,8.0,6269
233,The Handmaiden,아가씨,ko,94.657,8.2,3342
234,The Grapes of Wrath,The Grapes of Wrath,en,13.693,7.8,878
235,The Battle of Algiers,La battaglia di Algeri,it,14.561,7.9,661
236,Groundhog Day,Groundhog Day,en,27.666,7.6,7322
237,Amores Perros,Amores perros,es,25.114,7.6,2361
238,Rebecca,Rebecca,en,19.99,7.9,1599
239,The Sound of Music,The Sound of Music,en,26.578,7.7,3004
240,Cool Hand Luke,Cool Hand Luke,en,21.851,7.7,1274
241,Pather Panchali,পথের পাঁচালী,bn,14.979,8.0,356
242,The Iron Giant,The Iron Giant,en,44.809,7.9,5131
243,It Happened One Night,It Happened One Night,en,13.98,7.9,1098
244,The Help,The Help,en,61.15,8.2,7588
245,The 400 Blows,Les Quatre Cents Coups,fr,14.289,8.1,1950
246,Persona,Persona,sv,21.229,8.2,1945
247,Life of Brian,Life of Brian,en,20.255,7.8,4030
248,Aladdin,Aladdin,en,44.335,7.1,9476
249,Gangs of Wasseypur - Part 1,गैंग्स ऑफ़ वास्सेपुर पार्ट - १,hi,10.137,7.1,331
